timestamp,heart rate,temperature,enhanced altitude
2024-08-02T15:04:54.000Z,89,31,221.6
2024-08-02T15:04:55.000Z,89,31,221.6
2024-08-02T15:04:56.000Z,90,31,221.6
2024-08-02T15:04:57.000Z,91,31,221.6
2024-08-02T15:04:58.000Z,92,31,221.6
2024-08-02T15:04:59.000Z,92,31,221.6
2024-08-02T15:05:00.000Z,93,31,221.6
2024-08-02T15:05:01.000Z,92,31,221.6
2024-08-02T15:05:02.000Z,93,31,221.6
2024-08-02T15:05:03.000Z,93,31,221.6
2024-08-02T15:05:04.000Z,93,31,221.6
2024-08-02T15:05:05.000Z,92,31,221.6
2024-08-02T15:05:06.000Z,91,31,221.6
2024-08-02T15:05:07.000Z,91,31,221.6
2024-08-02T15:05:08.000Z,90,31,221.6
2024-08-02T15:05:09.000Z,90,31,221.6
2024-08-02T15:05:10.000Z,89,31,221.6
2024-08-02T15:05:11.000Z,89,31,221.6
2024-08-02T15:05:12.000Z,89,30,221.6
2024-08-02T15:05:13.000Z,88,30,221.6
2024-08-02T15:05:14.000Z,88,30,221.6
2024-08-02T15:05:15.000Z,87,30,221.6
2024-08-02T15:05:16.000Z,87,30,221.6
2024-08-02T15:05:17.000Z,87,30,221.6
2024-08-02T15:05:18.000Z,87,30,221.6
2024-08-02T15:05:19.000Z,86,30,221.6
2024-08-02T15:05:20.000Z,85,30,221.6
2024-08-02T15:05:21.000Z,86,30,221.6
2024-08-02T15:05:22.000Z,86,30,221.6
2024-08-02T15:05:23.000Z,87,30,221.6
2024-08-02T15:05:24.000Z,88,30,221.6
2024-08-02T15:05:25.000Z,89,30,221.6
2024-08-02T15:05:26.000Z,89,30,221.6
2024-08-02T15:05:27.000Z,91,30,221.6
2024-08-02T15:05:28.000Z,92,30,221.6
2024-08-02T15:05:29.000Z,92,30,221.6
2024-08-02T15:05:30.000Z,93,30,221.6
2024-08-02T15:05:31.000Z,94,30,221.6
2024-08-02T15:05:32.000Z,94,30,221.6
2024-08-02T15:05:33.000Z,94,30,221.6
2024-08-02T15:05:34.000Z,94,30,221.6
2024-08-02T15:05:35.000Z,94,30,221.6
